ID,Average Rating,Latitude,Longitude,Person Capacity,Price
16464853,5.0,42.39347,-71.08913,1,$54
13417738,4.56,42.39367,-71.09089,1,$64
2926854,4.36,42.39387,-71.09093,1,$60
51879228,,42.39187,-71.09145,1,$56
53333788,,42.39471,-71.0853,1,$48
53333037,,42.39486,-71.08516,1,$38
53415801,,42.3955,-71.0776,6,$399
53493754,,42.39326,-71.07878,3,$156
53435268,,42.39484,-71.07909,6,$299
53541792,,42.39483,-71.07771,2,$199
40474880,,42.39705,-71.06974,4,$269
53893198,,42.39249,-71.07931,4,$299
53541786,,42.39446,-71.07791,2,$193
41637846,,42.39485,-71.07891,2,$191
43920635,,42.39378,-71.07945,2,$192
49483762,,42.39363,-71.04955,2,$94
34126692,4.28,42.38751,-71.08544,2,$48
53288425,5.0,42.39866,-71.06266,4,$200
25748547,4.88,42.39795,-71.08916,2,$140
9092236,4.33,42.38978,-71.08212,2,$52
49405382,,42.39181,-71.04784,2,$79
49400482,,42.39212,-71.04775,4,$79
49478129,,42.39381,-71.04835,2,$73
49478571,5.0,42.39216,-71.04743,2,$93
38644016,5.0,42.3998,-71.06282,2,$90
46855784,,42.39162,-71.04789,3,$125
9096902,5.0,42.3877,-71.08102,2,$52
19297362,4.33,42.38789,-71.08405,2,$75
50779442,4.9,42.387772,-71.047127,8,$294
19737798,4.83,42.38767,-71.04581,5,$95
31902199,4.6,42.39124,-71.09851,1,$64
13883630,4.89,42.38751,-71.09151,2,$80
26421466,4.89,42.38746,-71.09159,1,$75
984992,4.49,42.38915,-71.09166,1,$48
14706275,4.74,42.38666,-71.09292,10,$140
42863510,4.74,42.3866,-71.08844,10,$331
16858627,5.0,42.38698,-71.09508,2,$50
20269844,4.32,42.39053,-71.091,6,$175
12104874,4.74,42.38965,-71.09151,2,$75
20667112,4.79,42.38633,-71.09213,1,$115
43051461,5.0,42.38847,-71.08989,2,$220
27169088,4.4,42.38887,-71.09071,4,$175
48178743,,42.38655,-71.09961,2,$177
20667078,4.88,42.38704,-71.09212,1,$115
44847307,,42.38811,-71.09215,4,$145
6812982,4.26,42.38251,-71.08465,1,$49
27787666,4.59,42.38431,-71.09364,2,$49
1167970,4.56,42.38611,-71.08585,1,$22
1168079,4.53,42.38581,-71.08421,1,$22
219956,4.54,42.38589,-71.08586,1,$22
1382718,4.43,42.38617,-71.08556,1,$22
29607084,3.86,42.38597,-71.07251,10,$225
6449061,4.9,42.38512,-71.08271,3,$95
222081,4.52,42.38481,-71.08436,1,$22
20631576,4.8,42.38471,-71.0852,2,$105
18929249,4.77,42.38423,-71.07821,7,$146
33563209,4.74,42.38517,-71.07988,2,$79
1167804,4.47,42.38423,-71.08608,1,$22
13063952,4.8,42.38362,-71.07863,2,$59
12372052,4.71,42.38348,-71.07678,4,$130
52578496,,42.38346,-71.08533,2,$79
370390,4.46,42.38333,-71.08296,1,$40
394462,4.4,42.38319,-71.08297,1,$45
1541166,4.9,42.38324,-71.07852,2,$109
4902165,4.77,42.38315,-71.0862,2,$60
20738325,4.88,42.38289,-71.0853,1,$95
13032590,4.88,42.38187,-71.07734,6,$182
33834201,4.58,42.38384,-71.08164,2,$79
34782422,4.85,42.38349,-71.06744,4,$299
49481728,,42.39177,-71.0476,2,$129
14222406,5.0,42.38232,-71.08396,3,$99
16517776,4.83,42.38183,-71.07888,2,$55
48357656,4.91,42.38099,-71.07038,4,$195
30788187,4.95,42.38069,-71.11865,4,$89
41273964,,42.37736,-71.11155,1,$54
45722411,,42.38282,-71.13651,5,$106
9729190,4.83,42.38383,-71.12516,2,$125
54064027,,42.38551,-71.11128,1,$38
6385215,4.67,42.38266,-71.12925,3,$110
17285749,4.82,42.38225,-71.11953,4,$100
3538589,4.75,42.38332,-71.11479,4,$150
38960050,4.94,42.38118,-71.12003,1,$93
41288141,,42.3782,-71.11088,1,$60
49011641,,42.37787,-71.102,1,$50
13002717,4.96,42.38457,-71.11495,1,$65
53578576,,42.38556,-71.11098,1,$55
21546255,4.94,42.38449,-71.1173,2,$98
20074456,4.61,42.37452,-71.12806,6,$120
24442402,4.98,42.38208,-71.13386,2,$127
15523233,4.53,42.37433,-71.13024,7,$123
23257882,4.31,42.37538,-71.12956,6,$120
37010665,5.0,42.38376,-71.11991,3,$150
6106691,4.74,42.38085,-71.13546,6,$130
38960329,4.96,42.38093,-71.11777,2,$110
53578934,,42.38529,-71.11141,1,$63
44319631,,42.38063,-71.13839,1,$80
33692520,,42.37835,-71.11092,1,$55
6363476,4.98,42.38411,-71.11523,5,$283
25778262,4.98,42.38304,-71.11735,4,$184
